Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
HIV_gp120_Var_10_2495240,HIV_gp120,98.69,-0.34,39.72,STABLE
HIV_gp120_Var_11_114149294,HIV_gp120,99.65,-0.13,32.72,STABLE
HIV_gp120_Var_12_114149293,HIV_gp120,94.48,-0.13,36.38,STABLE
HIV_gp120_Var_13_416954,HIV_gp120,81.72,-0.35,32.23,STABLE
HIV_gp120_Var_18_2737870232,HIV_gp120,84.68,-0.47,36.12,STABLE
HIV_gp120_Var_19_1352376,HIV_gp120,99.07,-0.35,34.87,STABLE
HIV_gp120_Var_21_119495,HIV_gp120,94.41,-0.44,34.6,STABLE
HIV_gp120_Var_23_119450,HIV_gp120,96.91,-0.25,38.67,STABLE
HIV_gp120_Var_24_119446,HIV_gp120,97.48,-0.25,39.86,STABLE
HIV_gp120_Var_26_119438,HIV_gp120,96.13,-0.23,39.62,STABLE
HIV_gp120_Var_27_119437,HIV_gp120,96.66,-0.22,38.52,STABLE
HIV_gp120_Var_2_75593948,HIV_gp120,96.99,-0.12,38.41,STABLE
HIV_gp120_Var_3_75593699,HIV_gp120,98.64,-0.35,36.98,STABLE
HIV_gp120_Var_5_75593171,HIV_gp120,96.94,-0.2,39.7,STABLE
HIV_gp120_Var_7_75573763,HIV_gp120,95.56,-0.25,34.79,STABLE
HIV_gp120_Var_8_75573552,HIV_gp120,95.83,-0.21,39.83,STABLE
HIV_gp41_Var_10_2495240,HIV_gp41,98.69,-0.34,39.72,STABLE
HIV_gp41_Var_11_114149294,HIV_gp41,99.65,-0.13,32.72,STABLE
HIV_gp41_Var_12_114149293,HIV_gp41,94.48,-0.13,36.38,STABLE
HIV_gp41_Var_13_416954,HIV_gp41,81.72,-0.35,32.23,STABLE
HIV_gp41_Var_18_2737870232,HIV_gp41,84.68,-0.47,36.12,STABLE
HIV_gp41_Var_19_1352376,HIV_gp41,99.07,-0.35,34.87,STABLE
HIV_gp41_Var_21_119495,HIV_gp41,94.41,-0.44,34.6,STABLE
HIV_gp41_Var_23_119450,HIV_gp41,96.91,-0.25,38.67,STABLE
HIV_gp41_Var_24_119446,HIV_gp41,97.48,-0.25,39.86,STABLE
HIV_gp41_Var_26_119438,HIV_gp41,96.13,-0.23,39.62,STABLE
HIV_gp41_Var_27_119437,HIV_gp41,96.66,-0.22,38.52,STABLE
HIV_gp41_Var_2_75593948,HIV_gp41,96.99,-0.12,38.41,STABLE
HIV_gp41_Var_3_75593699,HIV_gp41,98.64,-0.35,36.98,STABLE
HIV_gp41_Var_5_75593171,HIV_gp41,96.94,-0.2,39.7,STABLE
HIV_gp41_Var_7_75573763,HIV_gp41,95.56,-0.25,34.79,STABLE
HIV_gp41_Var_8_75573552,HIV_gp41,95.83,-0.21,39.83,STABLE
HIV_p17_Var_10_75644695,HIV_p17,55.3,-0.6,35.26,STABLE
HIV_p17_Var_18_158931165,HIV_p17,162.29,-0.49,39.89,STABLE
HIV_p17_Var_19_114152122,HIV_p17,163.24,-0.49,33.67,STABLE
HIV_p17_Var_1_115502561,HIV_p17,161.52,-0.5,36.61,STABLE
HIV_p17_Var_22_77416891,HIV_p17,161.1,-0.48,36.89,STABLE
HIV_p17_Var_23_77416888,HIV_p17,161.77,-0.5,37.03,STABLE
HIV_p17_Var_24_77416887,HIV_p17,161.44,-0.48,37.44,STABLE
HIV_p17_Var_25_77416883,HIV_p17,162.33,-0.47,35.33,STABLE
HIV_p17_Var_2_110815947,HIV_p17,161.65,-0.49,35.84,STABLE
HIV_p17_Var_30_341942259,HIV_p17,161.79,-0.49,37.52,STABLE
HIV_p17_Var_3_110815944,HIV_p17,162.77,-0.48,35.67,STABLE
HIV_p17_Var_4_110815941,HIV_p17,162.16,-0.48,36.26,STABLE
