Variant_ID,Target,Antigenicity_Score,Status,Notes
HIV_gp120_Var_10_2495240,HIV_gp120,1.0374,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_11_114149294,HIV_gp120,1.0348,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_12_114149293,HIV_gp120,1.0369,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_13_416954,HIV_gp120,1.0339,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_14_399437,HIV_gp120,1.0327,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_15_399436,HIV_gp120,1.033,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_16_119492,HIV_gp120,1.0364,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_17_119491,HIV_gp120,1.034,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_18_2737870232,HIV_gp120,1.0329,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_19_1352376,HIV_gp120,1.0327,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_1_75594699,HIV_gp120,1.0387,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_20_119501,HIV_gp120,1.0325,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_21_119495,HIV_gp120,1.0322,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_22_119457,HIV_gp120,1.0338,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_23_119450,HIV_gp120,1.0311,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_24_119446,HIV_gp120,1.0309,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_25_119442,HIV_gp120,1.0323,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_26_119438,HIV_gp120,1.0323,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_27_119437,HIV_gp120,1.0321,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_28_119435,HIV_gp120,1.032,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_29_3179837581,HIV_gp120,1.0279,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_2_75593948,HIV_gp120,1.0383,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_30_3179837579,HIV_gp120,1.0279,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_3_75593699,HIV_gp120,1.0343,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_4_75593314,HIV_gp120,1.0333,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_5_75593171,HIV_gp120,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_6_75574218,HIV_gp120,1.0344,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_7_75573763,HIV_gp120,1.0299,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_8_75573552,HIV_gp120,1.0333,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp120_Var_9_3023715,HIV_gp120,1.0314,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_10_2495240,HIV_gp41,1.0374,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_11_114149294,HIV_gp41,1.0348,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_12_114149293,HIV_gp41,1.0369,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_13_416954,HIV_gp41,1.0339,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_14_399437,HIV_gp41,1.0327,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_15_399436,HIV_gp41,1.033,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_16_119492,HIV_gp41,1.0364,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_17_119491,HIV_gp41,1.034,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_18_2737870232,HIV_gp41,1.0329,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_19_1352376,HIV_gp41,1.0327,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_1_75594699,HIV_gp41,1.0387,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_20_119501,HIV_gp41,1.0325,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_21_119495,HIV_gp41,1.0322,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_22_119457,HIV_gp41,1.0338,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_23_119450,HIV_gp41,1.0311,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_24_119446,HIV_gp41,1.0309,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_25_119442,HIV_gp41,1.0323,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_26_119438,HIV_gp41,1.0323,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_27_119437,HIV_gp41,1.0321,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_28_119435,HIV_gp41,1.032,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_29_119415,HIV_gp41,1.0347,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_2_75593948,HIV_gp41,1.0383,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_30_119400,HIV_gp41,1.0393,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_3_75593699,HIV_gp41,1.0343,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_4_75593314,HIV_gp41,1.0333,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_5_75593171,HIV_gp41,1.0315,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_6_75574218,HIV_gp41,1.0344,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_7_75573763,HIV_gp41,1.0299,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_8_75573552,HIV_gp41,1.0333,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_gp41_Var_9_3023715,HIV_gp41,1.0314,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_10_75644695,HIV_p17,1.0221,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_11_75643500,HIV_p17,1.0191,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_12_75642719,HIV_p17,1.0173,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_13_75627851,HIV_p17,1.0203,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_14_75627485,HIV_p17,1.021,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_15_75627146,HIV_p17,1.0209,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_16_75627073,HIV_p17,1.0174,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_17_3023824,HIV_p17,1.0191,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_18_158931165,HIV_p17,1.0227,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_19_114152122,HIV_p17,1.022,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_1_115502561,HIV_p17,1.0228,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_20_114149305,HIV_p17,1.0208,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_21_114149304,HIV_p17,1.0207,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_22_77416891,HIV_p17,1.0241,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_23_77416888,HIV_p17,1.0228,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_24_77416887,HIV_p17,1.0228,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_25_77416883,HIV_p17,1.023,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_26_120843,HIV_p17,1.02,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_27_120840,HIV_p17,1.0177,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_28_120836,HIV_p17,1.0191,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_29_120833,HIV_p17,1.0176,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
HIV_p17_Var_2_110815947,HIV_p17,1.0229,ANTIGENIC,Standard antigenic profile; acceptable for vaccine use.
