Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
HIV_gp120_Var_01_75594699,HIV_gp120,99.24,-0.18,41.93,UNSTABLE
HIV_gp120_Var_02_75593948,HIV_gp120,96.99,-0.12,38.41,STABLE
HIV_gp120_Var_03_75593699,HIV_gp120,98.64,-0.35,36.98,STABLE
HIV_gp120_Var_04_75593314,HIV_gp120,96.62,-0.2,40.83,UNSTABLE
HIV_gp120_Var_05_75593171,HIV_gp120,96.94,-0.2,39.7,STABLE
HIV_gp120_Var_06_75574218,HIV_gp120,95.18,-0.16,40.2,UNSTABLE
HIV_gp120_Var_07_75573763,HIV_gp120,95.56,-0.25,34.79,STABLE
HIV_gp120_Var_08_75573552,HIV_gp120,95.83,-0.21,39.83,STABLE
HIV_gp120_Var_09_3023715,HIV_gp120,96.94,-0.25,41.23,UNSTABLE
HIV_gp120_Var_10_2495240,HIV_gp120,98.69,-0.34,39.72,STABLE
HIV_gp120_Var_11_114149294,HIV_gp120,99.65,-0.13,32.72,STABLE
HIV_gp120_Var_12_114149293,HIV_gp120,94.48,-0.13,36.38,STABLE
HIV_gp120_Var_13_416954,HIV_gp120,81.72,-0.35,32.23,STABLE
HIV_gp120_Var_14_399437,HIV_gp120,97.52,-0.23,42.27,UNSTABLE
HIV_gp120_Var_15_399436,HIV_gp120,98.11,-0.24,42.94,UNSTABLE
HIV_gp120_Var_16_119492,HIV_gp120,99.52,-0.34,41.75,UNSTABLE
HIV_gp120_Var_17_119491,HIV_gp120,86.86,-0.35,42.69,UNSTABLE
HIV_gp120_Var_18_2737870232,HIV_gp120,84.68,-0.47,36.12,STABLE
HIV_gp120_Var_19_1352376,HIV_gp120,99.07,-0.35,34.87,STABLE
HIV_gp120_Var_20_119501,HIV_gp120,102.05,-0.37,41.2,UNSTABLE
HIV_gp120_Var_21_119495,HIV_gp120,94.41,-0.44,34.6,STABLE
HIV_gp120_Var_22_119457,HIV_gp120,99.02,-0.39,43.05,UNSTABLE
HIV_gp120_Var_23_119450,HIV_gp120,96.91,-0.25,38.67,STABLE
HIV_gp120_Var_24_119446,HIV_gp120,97.48,-0.25,39.86,STABLE
HIV_gp120_Var_25_119442,HIV_gp120,96.48,-0.28,43.11,UNSTABLE
HIV_gp120_Var_26_119438,HIV_gp120,96.13,-0.23,39.62,STABLE
HIV_gp120_Var_27_119437,HIV_gp120,96.66,-0.22,38.52,STABLE
HIV_gp120_Var_28_119435,HIV_gp120,96.47,-0.23,40.49,UNSTABLE
HIV_gp120_Var_29_3179837581,HIV_gp120,54.03,-0.4,45.61,UNSTABLE
HIV_gp120_Var_30_3179837579,HIV_gp120,54.03,-0.4,45.61,UNSTABLE
HIV_gp41_Var_01_75594699,HIV_gp41,99.24,-0.18,41.93,UNSTABLE
HIV_gp41_Var_02_75593948,HIV_gp41,96.99,-0.12,38.41,STABLE
HIV_gp41_Var_03_75593699,HIV_gp41,98.64,-0.35,36.98,STABLE
HIV_gp41_Var_04_75593314,HIV_gp41,96.62,-0.2,40.83,UNSTABLE
HIV_gp41_Var_05_75593171,HIV_gp41,96.94,-0.2,39.7,STABLE
HIV_gp41_Var_06_75574218,HIV_gp41,95.18,-0.16,40.2,UNSTABLE
HIV_gp41_Var_07_75573763,HIV_gp41,95.56,-0.25,34.79,STABLE
HIV_gp41_Var_08_75573552,HIV_gp41,95.83,-0.21,39.83,STABLE
HIV_gp41_Var_09_3023715,HIV_gp41,96.94,-0.25,41.23,UNSTABLE
HIV_gp41_Var_10_2495240,HIV_gp41,98.69,-0.34,39.72,STABLE
HIV_gp41_Var_11_114149294,HIV_gp41,99.65,-0.13,32.72,STABLE
HIV_gp41_Var_12_114149293,HIV_gp41,94.48,-0.13,36.38,STABLE
HIV_gp41_Var_13_416954,HIV_gp41,81.72,-0.35,32.23,STABLE
HIV_gp41_Var_14_399437,HIV_gp41,97.52,-0.23,42.27,UNSTABLE
HIV_gp41_Var_15_399436,HIV_gp41,98.11,-0.24,42.94,UNSTABLE
HIV_gp41_Var_16_119492,HIV_gp41,99.52,-0.34,41.75,UNSTABLE
HIV_gp41_Var_17_119491,HIV_gp41,86.86,-0.35,42.69,UNSTABLE
HIV_gp41_Var_18_2737870232,HIV_gp41,84.68,-0.47,36.12,STABLE
HIV_gp41_Var_19_1352376,HIV_gp41,99.07,-0.35,34.87,STABLE
HIV_gp41_Var_20_119501,HIV_gp41,102.05,-0.37,41.2,UNSTABLE
HIV_gp41_Var_21_119495,HIV_gp41,94.41,-0.44,34.6,STABLE
HIV_gp41_Var_22_119457,HIV_gp41,99.02,-0.39,43.05,UNSTABLE
HIV_gp41_Var_23_119450,HIV_gp41,96.91,-0.25,38.67,STABLE
HIV_gp41_Var_24_119446,HIV_gp41,97.48,-0.25,39.86,STABLE
HIV_gp41_Var_25_119442,HIV_gp41,96.48,-0.28,43.11,UNSTABLE
HIV_gp41_Var_26_119438,HIV_gp41,96.13,-0.23,39.62,STABLE
HIV_gp41_Var_27_119437,HIV_gp41,96.66,-0.22,38.52,STABLE
HIV_gp41_Var_28_119435,HIV_gp41,96.47,-0.23,40.49,UNSTABLE
HIV_gp41_Var_29_119415,HIV_gp41,98.33,-0.37,53.87,UNSTABLE
HIV_gp41_Var_30_119400,HIV_gp41,102.27,-0.12,42.0,UNSTABLE
HIV_p17_Var_01_115502561,HIV_p17,161.52,-0.5,36.61,STABLE
HIV_p17_Var_02_110815947,HIV_p17,161.65,-0.49,35.84,STABLE
HIV_p17_Var_03_110815944,HIV_p17,162.77,-0.48,35.67,STABLE
HIV_p17_Var_04_110815941,HIV_p17,162.16,-0.48,36.26,STABLE
HIV_p17_Var_05_110815940,HIV_p17,161.56,-0.48,37.88,STABLE
HIV_p17_Var_06_82281206,HIV_p17,162.12,-0.48,35.89,STABLE
HIV_p17_Var_07_82280741,HIV_p17,163.29,-0.48,36.01,STABLE
HIV_p17_Var_08_82280442,HIV_p17,161.0,-0.49,34.02,STABLE
HIV_p17_Var_09_75646898,HIV_p17,55.5,-0.6,40.04,UNSTABLE
HIV_p17_Var_10_75644695,HIV_p17,55.3,-0.6,35.26,STABLE
HIV_p17_Var_11_75643500,HIV_p17,56.29,-0.62,45.03,UNSTABLE
HIV_p17_Var_12_75642719,HIV_p17,55.79,-0.66,49.21,UNSTABLE
HIV_p17_Var_13_75627851,HIV_p17,55.67,-0.55,42.3,UNSTABLE
HIV_p17_Var_14_75627485,HIV_p17,56.92,-0.63,42.78,UNSTABLE
HIV_p17_Var_15_75627146,HIV_p17,55.13,-0.58,41.85,UNSTABLE
HIV_p17_Var_16_75627073,HIV_p17,54.89,-0.64,40.88,UNSTABLE
HIV_p17_Var_17_3023824,HIV_p17,55.9,-0.64,48.1,UNSTABLE
HIV_p17_Var_18_158931165,HIV_p17,162.29,-0.49,39.89,STABLE
HIV_p17_Var_19_114152122,HIV_p17,163.24,-0.49,33.67,STABLE
HIV_p17_Var_20_114149305,HIV_p17,55.56,-0.58,49.43,UNSTABLE
HIV_p17_Var_21_114149304,HIV_p17,56.75,-0.58,40.58,UNSTABLE
HIV_p17_Var_22_77416891,HIV_p17,161.1,-0.48,36.89,STABLE
HIV_p17_Var_23_77416888,HIV_p17,161.77,-0.5,37.03,STABLE
HIV_p17_Var_24_77416887,HIV_p17,161.44,-0.48,37.44,STABLE
HIV_p17_Var_25_77416883,HIV_p17,162.33,-0.47,35.33,STABLE
HIV_p17_Var_26_120843,HIV_p17,54.92,-0.6,42.59,UNSTABLE
HIV_p17_Var_27_120840,HIV_p17,55.58,-0.64,44.98,UNSTABLE
HIV_p17_Var_28_120836,HIV_p17,55.28,-0.61,45.42,UNSTABLE
HIV_p17_Var_29_120833,HIV_p17,56.48,-0.65,50.13,UNSTABLE
HIV_p17_Var_30_341942259,HIV_p17,161.79,-0.49,37.52,STABLE
HIV_p24_Var_01_302393736,HIV_p24,173.99,-0.2,42.72,UNSTABLE
HIV_p24_Var_02_115502561,HIV_p24,161.52,-0.5,36.61,STABLE
HIV_p24_Var_03_110815947,HIV_p24,161.65,-0.49,35.84,STABLE
HIV_p24_Var_04_110815944,HIV_p24,162.77,-0.48,35.67,STABLE
HIV_p24_Var_05_110815941,HIV_p24,162.16,-0.48,36.26,STABLE
HIV_p24_Var_06_110815940,HIV_p24,161.56,-0.48,37.88,STABLE
HIV_p24_Var_07_82281206,HIV_p24,162.12,-0.48,35.89,STABLE
HIV_p24_Var_08_82280741,HIV_p24,163.29,-0.48,36.01,STABLE
HIV_p24_Var_09_82280442,HIV_p24,161.0,-0.49,34.02,STABLE
HIV_p24_Var_10_75646898,HIV_p24,55.5,-0.6,40.04,UNSTABLE
HIV_p24_Var_11_75644695,HIV_p24,55.3,-0.6,35.26,STABLE
HIV_p24_Var_12_75643500,HIV_p24,56.29,-0.62,45.03,UNSTABLE
HIV_p24_Var_13_75642719,HIV_p24,55.79,-0.66,49.21,UNSTABLE
HIV_p24_Var_14_75627851,HIV_p24,55.67,-0.55,42.3,UNSTABLE
HIV_p24_Var_15_75627485,HIV_p24,56.92,-0.63,42.78,UNSTABLE
HIV_p24_Var_16_75627146,HIV_p24,55.13,-0.58,41.85,UNSTABLE
HIV_p24_Var_17_75627073,HIV_p24,54.89,-0.64,40.88,UNSTABLE
HIV_p24_Var_18_3023824,HIV_p24,55.9,-0.64,48.1,UNSTABLE
HIV_p24_Var_19_158931165,HIV_p24,162.29,-0.49,39.89,STABLE
HIV_p24_Var_20_114152122,HIV_p24,163.24,-0.49,33.67,STABLE
HIV_p24_Var_21_114149305,HIV_p24,55.56,-0.58,49.43,UNSTABLE
HIV_p24_Var_22_114149304,HIV_p24,56.75,-0.58,40.58,UNSTABLE
HIV_p24_Var_23_77416891,HIV_p24,161.1,-0.48,36.89,STABLE
HIV_p24_Var_24_77416888,HIV_p24,161.77,-0.5,37.03,STABLE
HIV_p24_Var_25_77416887,HIV_p24,161.44,-0.48,37.44,STABLE
HIV_p24_Var_26_77416883,HIV_p24,162.33,-0.47,35.33,STABLE
HIV_p24_Var_27_120843,HIV_p24,54.92,-0.6,42.59,UNSTABLE
HIV_p24_Var_28_120840,HIV_p24,55.58,-0.64,44.98,UNSTABLE
HIV_p24_Var_29_120836,HIV_p24,55.28,-0.61,45.42,UNSTABLE
HIV_p24_Var_30_120833,HIV_p24,56.48,-0.65,50.13,UNSTABLE
Mpox_A35R_Var_01_2835480444,Mpox_A35R,18.81,0.16,36.94,STABLE
Mpox_A35R_Var_02_2835479726,Mpox_A35R,17.96,0.15,35.26,STABLE
Mpox_A35R_Var_03_2835479013,Mpox_A35R,19.59,0.12,37.03,STABLE
Mpox_A35R_Var_04_2811179914,Mpox_A35R,18.39,0.19,32.18,STABLE
Mpox_A35R_Var_05_2811179730,Mpox_A35R,17.8,0.28,31.45,STABLE
Mpox_A35R_Var_06_2811179543,Mpox_A35R,14.09,0.21,39.0,STABLE
Mpox_A35R_Var_07_2811179357,Mpox_A35R,16.5,0.17,34.2,STABLE
Mpox_A35R_Var_08_2811179174,Mpox_A35R,15.46,0.17,34.72,STABLE
Mpox_A35R_Var_09_2811178619,Mpox_A35R,14.79,0.22,41.05,UNSTABLE
Mpox_A35R_Var_10_2811178253,Mpox_A35R,16.53,0.23,35.42,STABLE
Mpox_A35R_Var_11_2811178072,Mpox_A35R,13.88,0.17,28.48,STABLE
Mpox_A35R_Var_12_2811177338,Mpox_A35R,18.29,0.1,26.51,STABLE
Mpox_A35R_Var_13_2811177157,Mpox_A35R,18.14,0.11,30.76,STABLE
Mpox_A35R_Var_14_2753775795,Mpox_A35R,16.39,0.23,35.48,STABLE
Mpox_A35R_Var_15_2753775618,Mpox_A35R,19.05,0.13,33.35,STABLE
Mpox_A35R_Var_16_2753775438,Mpox_A35R,19.15,0.12,38.01,STABLE
Mpox_A35R_Var_17_3058236721,Mpox_A35R,23.15,-0.45,46.93,UNSTABLE
Mpox_A35R_Var_18_3058236720,Mpox_A35R,24.07,-0.23,46.9,UNSTABLE
Mpox_A35R_Var_19_3058236719,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_20_3058236718,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_21_3058236717,Mpox_A35R,23.15,-0.45,46.93,UNSTABLE
Mpox_A35R_Var_22_3058236716,Mpox_A35R,24.07,-0.23,46.9,UNSTABLE
Mpox_A35R_Var_23_3058236715,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_24_3058236714,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_25_3058236713,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_26_3058236712,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_27_3058236711,Mpox_A35R,23.33,-0.43,53.16,UNSTABLE
Mpox_A35R_Var_28_3058236710,Mpox_A35R,24.38,-0.2,26.02,STABLE
Mpox_A35R_Var_29_3058236709,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_A35R_Var_30_3058236708,Mpox_A35R,11.4,-0.97,39.61,STABLE
Mpox_B5R_Var_01_2637787204,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_02_2637787203,Mpox_B5R,65.79,-0.12,37.9,STABLE
Mpox_B5R_Var_03_2566844742,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_04_2566844741,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_05_2566844563,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_06_2566844562,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_07_2566844384,Mpox_B5R,35.14,-0.18,40.4,UNSTABLE
Mpox_B5R_Var_08_2566844383,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_09_2566844205,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_10_2566844204,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_11_2566844026,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_12_2566844025,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_13_2566843847,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_14_2566843846,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_15_2566843668,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_16_2566843667,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_17_2566843489,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_18_2566843488,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_19_2566843310,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_20_2566843309,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_21_2566843131,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_22_2566843130,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_23_2566842952,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_24_2566842951,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_25_2566842773,Mpox_B5R,35.12,-0.19,42.05,UNSTABLE
Mpox_B5R_Var_26_2566842772,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_27_2566842594,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_28_2566842593,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_B5R_Var_29_2566842415,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE
Mpox_B5R_Var_30_2566842414,Mpox_B5R,65.73,-0.11,38.65,STABLE
Mpox_L1R_Var_01_3254710729,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_02_3254710688,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_03_3254710546,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_04_3254710505,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_05_3254710365,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_06_3254710324,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_07_3254710186,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_08_3254710145,Mpox_L1R,23.81,0.23,45.82,UNSTABLE
Mpox_L1R_Var_09_3254710007,Mpox_L1R,27.3,-0.0,33.47,STABLE
